Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2019-07-01T21:59:59.000Z,10585.9388547974,10501.4290756483,10593.6842475087,10404.3994232288
BTC,2019-07-01T23:00:00.000Z,10454.6838183291,10563.7129215667,10563.7375115522,10430.2569384634
BTC,2019-07-01T23:59:59.000Z,10590.2445015637,10454.6836592138,10638.9633682078,10453.3723008119
BTC,2019-07-02T01:00:00.000Z,10347.9710970979,10590.2469428499,10660.0415649128,10343.7261149628
BTC,2019-07-02T02:00:00.000Z,10238.1278393153,10339.6630638724,10393.5202780646,10190.0728592008
BTC,2019-07-02T02:59:59.000Z,10248.7842209134,10238.13026166,10357.233017002,10209.6541574757
BTC,2019-07-02T03:59:59.000Z,10316.2836330056,10248.75347168,10318.7026123924,10209.3894837453
BTC,2019-07-02T04:59:59.000Z,9905.1162769466,10316.4100218192,10345.5823874456,9789.5148765098
BTC,2019-07-02T05:59:59.000Z,9787.9352480614,9905.1067118687,9926.7379733012,9747.9289556449
BTC,2019-07-02T06:59:59.000Z,9770.1746302951,9787.9350221859,9876.9726250118,9726.6371984409
BTC,2019-07-02T08:00:00.000Z,9836.5583569769,9770.16904404,9882.5502643233,9770.1518865515
BTC,2019-07-02T08:59:59.000Z,10180.3156713384,9836.5570737597,10264.6875206859,9798.9335708607
BTC,2019-07-02T09:59:59.000Z,10153.2531400668,10180.3866530237,10325.1968027354,10106.4722373311
BTC,2019-07-02T11:00:00.000Z,10028.3369858759,10153.2686727767,10228.9164478502,9997.1739978003
BTC,2019-07-02T11:59:59.000Z,9975.3805874427,10028.3404466568,10209.8282135739,9676.5605198433
BTC,2019-07-02T12:59:59.000Z,10024.7224252613,9969.048274987,10151.3023885058,9917.5524924096
BTC,2019-07-02T14:59:59.000Z,10514.5148630049,26.3802689838,10514.5555932854,26.3135946616
BTC,2019-07-02T16:00:00.000Z,10599.5254957543,10514.608413826,10602.9009090426,9936.4945064263
BTC,2019-07-02T17:00:00.000Z,10484.749728317,10599.4800814862,10599.4800814862,10401.2217661545
BTC,2019-07-02T18:00:00.000Z,10722.6805662966,10484.7495732593,10728.3730084742,10484.7343346165
BTC,2019-07-02T18:59:59.000Z,10709.4059749087,10722.701110672,10727.4298540733,10555.1645542384
BTC,2019-07-02T19:59:59.000Z,10763.9673312783,10709.4035803425,10888.9549278021,10665.9146429517
